################# EESSI STACK (HSA_ENABLE_SDMA=0) ##################

# [eessi sdma=0] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg
  [run 1/6] warm-up — 21:14:25
  [run 1/6] warm-up done in 12s
  [run 2/6] recording — 21:14:37
  [run 2/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.16
2                       0.49
4                       0.49
8                       0.49
16                      0.49
32                      0.49
64                      0.58
128                     0.62
256                     0.64
512                    21.91
1024                   14.81
2048                   14.81
4096                   15.05
8192                   15.24
16384                  15.09
32768                  15.46
65536                  15.69
131072                 16.21
262144                 17.93
524288                 19.13
1048576                23.41
2097152                30.37
4194304                41.26
  [run 3/6] recording — 21:14:40
  [run 3/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.14
2                       0.49
4                       0.49
8                       0.49
16                      0.49
32                      0.49
64                      0.58
128                     0.57
256                     0.63
512                    21.99
1024                   14.96
2048                   15.18
4096                   15.00
8192                   15.38
16384                  15.40
32768                  15.93
65536                  15.78
131072                 16.53
262144                 17.82
524288                 19.36
1048576                23.51
2097152                30.49
4194304                41.30
  [run 4/6] recording — 21:14:43
  [run 4/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.15
2                       0.49
4                       0.49
8                       0.49
16                      0.49
32                      0.50
64                      0.62
128                     0.66
256                     0.72
512                    21.99
1024                   14.83
2048                   15.10
4096                   14.77
8192                   15.02
16384                  15.28
32768                  15.63
65536                  15.83
131072                 16.48
262144                 17.83
524288                 19.41
1048576                23.46
2097152                30.53
4194304                41.32
  [run 5/6] recording — 21:14:46
  [run 5/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.16
2                       0.49
4                       0.49
8                       0.49
16                      0.50
32                      0.49
64                      0.58
128                     0.57
256                     0.66
512                    22.17
1024                   14.83
2048                   15.04
4096                   14.79
8192                   15.01
16384                  15.19
32768                  15.79
65536                  15.76
131072                 16.56
262144                 17.89
524288                 19.31
1048576                23.64
2097152                30.63
4194304                41.41
  [run 6/6] recording — 21:14:49
  [run 6/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.13
2                       0.49
4                       0.49
8                       0.53
16                      0.49
32                      0.64
64                      0.66
128                     0.66
256                     0.72
512                    21.98
1024                   14.92
2048                   15.12
4096                   14.88
8192                   15.31
16384                  15.37
32768                  15.56
65536                  15.81
131072                 16.33
262144                 17.87
524288                 19.28
1048576                23.44
2097152                30.54
4194304                41.50

# [eessi sdma=0] intra_pkg_OAM1  GCD(2,3) tier=intra_pkg
  [run 1/6] warm-up — 21:14:52
  [run 1/6] warm-up done in 3s
  [run 2/6] recording — 21:14:55
  [run 2/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.14
2                       0.52
4                       0.52
8                       0.53
16                      0.53
32                      0.53
64                      0.61
128                     0.58
256                     0.65
512                    21.76
1024                   14.03
2048                   14.26
4096                   13.93
8192                   14.19
16384                  14.22
32768                  14.72
65536                  15.06
131072                 15.48
262144                 17.06
524288                 18.45
1048576                22.41
2097152                30.07
4194304                41.07
  [run 3/6] recording — 21:14:58
  [run 3/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.16
2                       0.49
4                       0.49
8                       0.49
16                      0.49
32                      0.49
64                      0.57
128                     0.58
256                     0.65
512                    21.15
1024                   14.13
2048                   14.29
4096                   14.02
8192                   14.42
16384                  14.17
32768                  14.76
65536                  15.14
131072                 15.47
262144                 17.03
524288                 18.50
1048576                22.62
2097152                30.04
4194304                41.01
  [run 4/6] recording — 21:15:01
  [run 4/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.09
2                       0.49
4                       0.50
8                       0.49
16                      0.49
32                      0.49
64                      0.57
128                     0.57
256                     0.64
512                    21.04
1024                   14.23
2048                   14.41
4096                   14.16
8192                   14.56
16384                  14.43
32768                  15.04
65536                  15.24
131072                 15.83
262144                 17.41
524288                 18.53
1048576                22.78
2097152                30.27
4194304                41.27
  [run 5/6] recording — 21:15:04
  [run 5/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.15
2                       0.49
4                       0.53
8                       0.56
16                      0.60
32                      0.61
64                      0.70
128                     0.67
256                     0.74
512                    21.08
1024                   14.08
2048                   14.18
4096                   13.90
8192                   14.10
16384                  14.15
32768                  14.88
65536                  14.88
131072                 15.66
262144                 17.00
524288                 18.48
1048576                22.38
2097152                30.07
4194304                40.99
  [run 6/6] recording — 21:15:07
  [run 6/6] done in 3s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       2.14
2                       0.49
4                       0.49
8                       0.49
16                      0.48
32                      0.49
64                      0.58
128                     0.57
256                     0.64
512                    21.27
1024                   13.91
2048                   14.01
4096                   14.01
8192                   14.08
16384                  14.47
